No.,식품명,제조사,조사년도,식품분류,식품군,식품코드,자료원,1회제공량,에너지(Kcal),단백질,지질,탄수화물,총당류,나트륨,콜레스테롤,총 포화 지방산,트랜스 지방산
1,구운 인절미,해태가루비,2017,가공식품,"과자류, 빵류 또는 떡류",P00001,식약처(가공식품)NFPF,50g,175,-,-,-,4,50,-,3.1,0
2,코펜라스 버터쿠키,매크로통상,2017,가공식품,"과자류, 빵류 또는 떡류",P00003,식약처(가공식품)NFPF,50g,254.8,-,-,-,12.05,175,-,6.75,0
3,로아커 웨하스 바닐라,㈜델리팜,2017,가공식품,"과자류, 빵류 또는 떡류",P00004,식약처(가공식품)NFPF,30g,155,-,-,-,9,49,-,7,0
4,맛미 강정,왕궁병과,2017,가공식품,"과자류, 빵류 또는 떡류",P00005,식약처(가공식품)NFPF,45g,190,-,-,-,20,75,-,0.7,0
5,찹쌀 약과,성진식품,2017,가공식품,"과자류, 빵류 또는 떡류",P00006,식약처(가공식품)NFPF,40g,155,-,-,-,10,11,-,1,0
6,체다치즈 쿠키,㈜부루구루,2017,가공식품,"과자류, 빵류 또는 떡류",P00007,식약처(가공식품)NFPF,40g,205,-,-,-,7,70,-,6,0
7,초콜릿 웨이퍼스틱,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P00008,식약처(가공식품)NFPF,30g,132,-,-,-,11,110,-,3.5,0
8,사또밥,삼양식품㈜원주공장,2017,가공식품,"과자류, 빵류 또는 떡류",P00009,식약처(가공식품)NFPF,30g,170,-,-,-,3,30,-,3.9,0
9,조청 산자,초례청,2016,가공식품,"과자류, 빵류 또는 떡류",P00010,식약처(가공식품)NFPF,30g,105,-,-,-,12.6,6.6,-,0.18,0
10,보리 건빵,상일제과㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00011,식약처(가공식품)NFPF,30g,120,-,-,-,5,150,-,1.4,0
11,참쌀 설병,크라운제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00012,식약처(가공식품)NFPF,27g,130,-,-,-,5,90,-,1.8,0
12,유별난 오징어,미찌푸드㈜,2016,가공식품,"과자류, 빵류 또는 떡류",P00013,식약처(가공식품)NFPF,30g,148,-,-,-,1,181,-,3,0
13,마가렛트,롯데제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00014,식약처(가공식품)NFPF,38g,195,-,-,-,8,100,-,5,0.5
14,오트밀 크랜베리쿠키,금촌베이커리,2016,가공식품,"과자류, 빵류 또는 떡류",P00015,식약처(가공식품)NFPF,35g,159,-,-,-,7,98,-,3.7,0
15,오레오 초콜릿 샌드위치쿠키,미가방유한회사,2016,가공식품,"과자류, 빵류 또는 떡류",P00016,식약처(가공식품)NFPF,20g,100,-,-,-,7.4,80,-,2.5,0
16,초이스엘 통밀팝,㈜대영지에프,2016,가공식품,"과자류, 빵류 또는 떡류",P00017,식약처(가공식품)NFPF,30g,115,-,-,-,0.2,22,-,0.1,0
17,초이스엘 고구마형 과자,코스모스제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00018,식약처(가공식품)NFPF,30g,140,-,-,-,9,95,-,1.5,0
18,자연이 빚은 쌀전병 김 전병,㈜세진병과,2016,가공식품,"과자류, 빵류 또는 떡류",P00019,식약처(가공식품)NFPF,30g,125,-,-,-,17,80,-,1.2,0
19,우리밀 발아 통밀 두부과자,㈜우리밀횡성공장,2016,가공식품,"과자류, 빵류 또는 떡류",P00020,식약처(가공식품)NFPF,30g,145,-,-,-,3,110,-,2.7,0.3
20,통밀 뻥튀기,우주통상,2016,가공식품,"과자류, 빵류 또는 떡류",P00021,식약처(가공식품)NFPF,30g,115,-,-,-,1,46,-,0.1,0
21,찹쌀 전병,신흥식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00022,식약처(가공식품)NFPF,30g,135,-,-,-,6,75,-,1.2,0
22,우리밀 딸기쿠키,신흥식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00023,식약처(가공식품)NFPF,45g,205,-,-,-,12,30,-,5,0
23,불로 구운 찹쌀산자,㈜유림한과,2016,가공식품,"과자류, 빵류 또는 떡류",P00024,식약처(가공식품)NFPF,50g,185,-,-,-,13.9,22,-,0,0
24,해삼형 과자,유풍제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00025,식약처(가공식품)NFPF,100g,433,-,-,-,15,246,-,2,0
25,특유과,태화식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00026,식약처(가공식품)NFPF,20g,355,-,-,-,35,60,-,1,0
26,파래 쌀과자,미래푸드,2016,가공식품,"과자류, 빵류 또는 떡류",P00027,식약처(가공식품)NFPF,30g,106,-,-,-,1,24,-,0,0
27,델로스 오리지날,㈜청우식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00028,식약처(가공식품)NFPF,25g,117,-,-,-,7,67,-,2.5,0
28,옛날애(愛)김맛 전병,미래제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00029,식약처(가공식품)NFPF,50g,207,-,-,-,20,28,-,2.1,0
29,스낵강정,유유식품,2016,가공식품,"과자류, 빵류 또는 떡류",P00030,식약처(가공식품)NFPF,30g,125,-,-,-,12,75,-,0.8,0
30,신광 맛약과,신광제과,2016,가공식품,"과자류, 빵류 또는 떡류",P00031,식약처(가공식품)NFPF,30g,128.6,-,-,-,10.1,34.3,-,5.86,0.43
